uuid,label
281,0
282,1
283,1
284,1
285,1
286,0
287,0
288,1
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,0
323,1
324,1
325,1
326,1
327,0
328,1
329,0
330,0
331,0
332,0
333,1
334,0
335,1
336,1
337,0
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,0
346,0
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,0
362,1
363,0
364,0
365,0
366,1
367,0
368,1
369,1
370,0
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,0
379,1
380,1
381,1
382,1
383,0
384,1
385,0
386,0
387,0
388,0
389,1
390,1
391,0
392,0
393,0
394,0
395,0
396,1
397,1
398,0
399,1
400,0
401,1
402,1
403,1
404,0
405,1
406,0
407,1
408,0
409,1
410,0
411,0
412,0
413,1
414,1
415,0
416,0
417,1
418,1
419,0
420,0
421,0
422,1
423,1
424,0
425,1
426,0
427,1
428,0
429,0
430,0
431,1
432,0
433,0
434,0
435,1
436,0
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,1
446,0
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,1
459,0
460,1
461,0
462,0
463,1
464,0
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,1
474,1
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,1
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,1
501,1
502,0
503,0
504,0
505,0
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,1
514,0
515,0
516,0
517,0
518,1
519,1
520,0
521,0
522,1
523,0
524,1
525,1
526,1
527,1
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,1
537,1
538,0
539,0
540,0
541,1
542,1
543,0
544,0
545,1
546,1
547,0
548,1
549,0
550,1
551,0
552,1
553,1
554,0
555,1
556,0
557,1
558,0
559,0
560,1
561,1
562,0
563,0
564,1
565,0
566,1
567,0
568,1
569,1
570,0
571,0
572,1
573,1
574,0
575,0
576,0
577,0
578,0
579,1
580,0
581,0
582,1
583,0
584,1
585,0
586,0
587,0
588,1
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,1
600,1
601,1
602,1
603,1
604,1
605,0
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,1
617,1
618,0
619,0
620,1
621,1
622,0
623,0
624,0
625,0
626,0
627,1
628,1
629,0
630,0
631,0
632,0
633,1
634,0
635,1
636,0
637,1
638,0
639,0
640,0
641,0
642,0
643,0
644,1
645,0
646,1
647,0
648,1
649,1
650,0
651,0
652,0
653,0
654,0
655,1
656,1
657,1
658,0
659,0
660,1
661,0
662,1
663,0
664,0
665,0
666,0
667,1
668,0
669,1
670,0
671,1
672,0
673,0
674,1
675,1
676,1
677,0
678,0
679,1
680,0
681,1
682,0
683,0
684,1
685,1
686,0
687,1
688,0
689,1
690,1
691,0
692,0
693,1
694,1
695,0
696,0
697,0
698,1
699,1
700,0
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,1
709,0
710,0
711,0
712,1
713,0
714,0
715,0
716,1
717,0
718,0
719,0
720,1
721,0
722,1
723,1
724,0
725,0
726,0
727,0
728,0
729,0
730,1
731,0
732,0
733,1
734,1
735,1
736,1
737,1
738,0
739,0
740,1
741,1
742,1
743,0
744,0
745,0
746,1
747,0
748,1
749,0
750,1
751,0
752,0
753,0
754,1
755,1
756,0
757,0
758,1
759,0
760,1
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,1
771,0
772,0
773,1
774,1
775,1
776,0
777,1
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,1
786,1
787,0
788,0
789,1
790,0
791,0
792,0
793,0
794,0
795,1
796,0
797,0
798,0
799,1
800,0
801,1
802,1
803,0
804,1
805,0
806,0
807,0
808,0
809,1
810,1
811,0
812,0
813,0
814,1
815,0
816,1
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,1
830,1
831,1
832,0
833,1
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,1
842,0
843,0
844,0
845,0
846,1
847,1
848,0
849,1
850,1
851,1
852,0
853,0
854,0
855,0
856,1
857,0
858,0
859,0
860,1
861,1
862,0
863,0
864,1
865,0
866,1
867,1
868,1
869,0
870,0
871,1
872,0
873,1
874,1
875,1
876,0
877,0
878,1
879,1
880,0
881,1
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,1
892,0
893,0
894,1
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,1
905,1
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,1
917,0
918,1
919,1
920,0
921,1
922,1
923,0
924,1
925,1
926,0
927,1
928,0
929,1
930,0
931,1
932,1
933,0
934,1
935,1
936,0
937,0
938,0
939,0
940,1
941,0
942,1
943,0
944,0
945,1
946,0
947,0
948,0
949,1
950,0
951,0
952,1
953,1
954,0
955,0
956,1
957,0
958,0
959,0
960,1
961,0
962,0
963,1
964,0
965,0
966,1
967,0
968,1
969,1
970,1
971,0
972,0
973,1
974,1
975,0
976,1
977,1
978,1
979,1
980,0
981,1
982,1
983,0
984,0
985,1
986,0
987,1
988,0
989,0
990,1
991,1
992,1
993,1
994,1
995,0
996,0
997,1
998,0
999,1
1000,0
